BOROUGH,NEIGHBORHOOD,TAX CLASS AT PRESENT,BLOCK,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,WINDSOR TERRACE,1,877,B,11215,2,0,2,2003,2048,1910,1,B,625000,2017-04-28
2,BRONXDALE,1,4340,S,10467,2,1,3,6575,4392,1925,1,S,1100000,2016-09-16
4,SPRINGFIELD GARDENS,1,13041,B,11413,2,0,2,2540,1800,1950,1,B,230000,2017-04-07
4,SPRINGFIELD GARDENS,1,12129,B,11434,2,0,2,3200,1920,1997,1,B,440000,2017-03-06
3,BUSHWICK,1,3217,B,11221,2,0,2,2033,2168,2001,1,B,1175000,2016-10-05
4,ELMHURST,1,2456,C,11378,3,0,3,2461,4336,1975,1,C,1475000,2016-11-07
2,PELHAM PARKWAY NORTH,1,4473,A,10469,1,0,1,3742,1811,1925,1,A,360000,2016-11-18
5,GREAT KILLS,1,5260,A,10308,1,0,1,4750,1471,1955,1,A,660000,2017-08-02
5,ARDEN HEIGHTS,1,6019,A,10312,1,0,1,2025,1536,1970,1,A,341000,2016-10-21
3,BOERUM HILL,1,279,A,11201,1,0,1,2007,3760,1915,1,A,5000000,2016-09-23
4,BAYSIDE,1,7503,A,11364,1,0,1,4500,1391,1950,1,A,890000,2016-09-08
4,WOODHAVEN,1,8967,B,11421,2,0,2,1900,1952,1915,1,B,670000,2017-05-23
3,FLATBUSH-CENTRAL,1,5242,B,11210,2,0,2,4000,2102,1915,1,B,1125000,2017-04-21
5,MIDLAND BEACH,1,3806,B,10306,2,0,2,2000,300,1920,1,B,290000,2016-12-23
2,SOUNDVIEW,1,3493,C,10473,3,0,3,1992,2730,1975,1,C,365650,2017-02-03
4,SOUTH OZONE PARK,1,11778,B,11420,2,0,2,6000,2404,1935,1,B,280000,2016-11-17
2,MOTT HAVEN/PORT MORRIS,1,2290,B,10454,2,0,2,2000,2000,1991,1,B,491000,2017-01-11
5,NEW SPRINGVILLE,1,2387,A,10314,1,0,1,2400,1456,1982,1,A,470000,2016-10-26
4,LITTLE NECK,1,8133,A,11363,1,0,1,4590,1607,1935,1,A,835000,2016-09-14
4,CAMBRIA HEIGHTS,1,11307,A,11411,1,0,1,3000,1185,1935,1,A,435000,2017-06-07
4,OAKLAND GARDENS,1,7613,A,11364,1,0,1,4000,1623,1950,1,A,877000,2017-03-06
3,OCEAN PARKWAY-NORTH,1,6516,A,11230,1,0,1,2100,1312,1930,1,A,1300000,2017-04-24
3,BOROUGH PARK,1,5508,A,11204,1,0,1,2404,2750,1925,1,A,850000,2017-07-26
4,WHITESTONE,1,4438,A,11357,1,0,1,7800,3927,1930,1,A,1800000,2017-02-17
5,PRINCES BAY,1,6740,B,10309,2,0,2,4972,5280,1996,1,B,975000,2016-09-23
3,MIDWOOD,1,6722,A,11230,1,0,1,2342,1932,1920,1,A,880000,2016-11-22
5,ROSEBANK,1,2862,A,10305,1,0,1,2609,2133,2015,1,A,590000,2017-06-14
4,CAMBRIA HEIGHTS,1,12788,A,11411,1,0,1,3800,1175,1945,1,A,480000,2017-08-16
4,BAYSIDE,1,6289,A,11361,1,0,1,6242,1839,1910,1,A,920000,2017-08-08
3,BEDFORD STUYVESANT,1,1622,C,11221,3,0,3,1500,3300,1899,1,C,1185000,2017-07-13
4,MIDDLE VILLAGE,1,3777,B,11379,2,0,2,2500,1728,1915,1,B,755000,2016-12-22
3,SUNSET PARK,1,658,B,11232,2,0,2,5500,1560,1910,1,B,1800000,2017-03-15
4,LAURELTON,1,13097,B,11413,2,0,2,4000,2400,1960,1,B,665000,2017-02-06
3,BEDFORD STUYVESANT,1,1651,B,11221,2,0,2,1875,2558,1899,1,B,1800000,2017-08-18
4,SPRINGFIELD GARDENS,1,12474,A,11434,1,0,1,2000,1240,1935,1,A,358322,2016-12-22
3,BUSHWICK,1,3397,B,11221,2,0,2,2000,2000,1899,1,B,475000,2017-06-05
5,WEST NEW BRIGHTON,1,198,A,10310,1,0,1,1666,1260,2003,1,A,360000,2017-07-26
4,ROSEDALE,1,13559,B,11422,2,0,2,4000,1505,1930,1,B,360000,2016-12-22
4,BROAD CHANNEL,1,15461,A,11693,1,0,1,2750,1332,1935,1,A,318907,2016-09-16
4,FLUSHING-NORTH,1,4893,A,11358,1,0,1,4750,1440,1935,1,A,890000,2016-10-06
2,PELHAM GARDENS,1,4478,A,10469,1,0,1,7500,1368,1935,1,A,725000,2017-07-19
5,MIDLAND BEACH,1,3736,A,10306,1,0,1,2000,600,1925,1,A,285000,2017-08-14
3,BENSONHURST,1,6170,B,11204,2,0,2,2500,2400,1930,1,B,1450000,2017-07-19
4,FLUSHING-SOUTH,1,6621,A,11367,1,0,1,1980,1260,1940,1,A,810000,2017-08-23
4,WOODHAVEN,1,8961,B,11421,2,0,2,2500,1890,1930,1,B,650000,2016-11-22
2,BELMONT,1,3054,B,10458,2,0,2,1650,1024,1901,1,B,44182,2017-01-18
3,WYCKOFF HEIGHTS,1,3290,B,11237,2,0,2,2325,1232,1920,1,B,695000,2017-08-03
4,FLUSHING-NORTH,1,6357,B,11355,2,0,2,4376,2250,1960,1,B,1450000,2016-09-12
5,MARINERS HARBOR,1,1246,B,10303,2,0,2,3189,1656,1925,1,B,410000,2017-04-20
5,MIDLAND BEACH,1,3683,A,10306,1,0,1,3428,1248,1970,1,A,425000,2016-10-17
5,GREAT KILLS,1,5442,A,10308,1,0,1,6081,2560,2015,1,A,875695,2017-03-06
5,GRASMERE,1,3170,A,10304,1,0,1,6000,1120,1994,1,A,395000,2017-06-05
4,WOODHAVEN,1,8972,B,11421,2,0,2,2000,2200,1910,1,B,800000,2016-10-19
4,FLUSHING-NORTH,1,5314,C,11358,3,0,3,2695,2220,2007,1,C,1519888,2016-09-16
3,OCEAN HILL,1,1508,C,11233,3,0,3,1800,3024,1901,1,C,900000,2017-06-05
4,FLORAL PARK,1,8808,A,11001,1,0,1,4075,1049,1955,1,A,601000,2017-04-28
5,STAPLETON-CLIFTON,1,2840,A,10304,1,0,1,2824,1280,1997,1,A,420000,2017-04-24
5,RICHMONDTOWN,1,4399,A,10306,1,0,1,4040,1092,1955,1,A,320000,2016-11-08
2,CASTLE HILL/UNIONPORT,1,3575,B,10473,2,0,2,3750,2112,1945,1,B,689000,2017-07-18
3,BROWNSVILLE,1,3517,A,11212,1,0,1,2000,1620,1987,1,A,345000,2017-01-24
4,LONG ISLAND CITY,1,330,B,11106,2,0,2,1555,1914,2007,1,B,1090000,2016-12-30
3,PROSPECT HEIGHTS,1,1150,B,11217,2,0,2,992,2536,1931,1,B,2400000,2016-09-28
4,LAURELTON,1,13062,B,11413,2,0,2,3705,1552,1901,1,B,75000,2016-09-14
4,LAURELTON,1,13128,A,11413,1,0,1,4633,1284,1950,1,A,313000,2016-12-19
4,QUEENS VILLAGE,1,11169,A,11429,1,0,1,2850,1746,1935,1,A,445000,2016-10-14
3,BENSONHURST,1,6235,B,11228,2,0,2,2458,2604,1920,1,B,1360000,2016-11-28
3,WILLIAMSBURG-EAST,1,2754,A,11211,1,0,1,2500,1152,1920,1,A,2900000,2016-10-07
4,JACKSON HEIGHTS,1,1243,B,11372,2,0,2,2000,2240,1935,1,B,999000,2017-01-06
2,WOODLAWN,1,3390,B,10470,2,0,2,3500,3837,1920,1,B,436000,2016-12-28
4,OZONE PARK,1,9081,B,11416,2,0,2,4245,1680,1920,1,B,760000,2017-04-10
5,GREAT KILLS-BAY TERRACE,1,4698,A,10306,1,0,1,2500,1448,1965,1,A,460000,2016-09-30
4,BAYSIDE,1,7308,A,11361,1,0,1,2880,1280,1955,1,A,100000,2016-10-19
3,EAST NEW YORK,1,4485,B,11208,2,0,2,2917,2000,1965,1,B,380000,2017-06-27
4,RICHMOND HILL,1,9300,B,11418,2,0,2,2500,2064,1920,1,B,403750,2017-04-04
3,SUNSET PARK,1,857,B,11220,2,0,2,2003,2060,1935,1,B,980000,2016-12-28
2,WESTCHESTER,1,3804,B,10462,2,0,2,2498,1936,1920,1,B,468000,2017-02-28
3,GRAVESEND,1,6890,B,11214,2,0,2,2051,2698,1965,1,B,1200000,2016-10-28
4,JAMAICA ESTATES,1,7229,A,11432,1,0,1,7540,1872,1940,1,A,1300000,2017-01-05
3,FLATBUSH-EAST,1,7788,A,11210,1,0,1,2000,1326,1925,1,A,550000,2017-06-30
3,CYPRESS HILLS,1,4106,B,11208,2,0,2,2552,1760,1930,1,B,175000,2017-04-21
3,PARK SLOPE,2A,1067,C,11215,5,0,5,2083,3916,1920,2,C,2200000,2017-02-02
3,GERRITSEN BEACH,1,8866,A,11229,1,0,1,3600,1219,1920,1,A,500000,2017-06-21
4,CORONA,1,1903,A,11368,1,0,1,2000,1332,1965,1,A,812000,2017-02-16
2,KINGSBRIDGE/JEROME PARK,1,3249,B,10468,2,0,2,1000,1600,2006,1,B,510000,2017-07-12
